state,petitions,approvals,approval_rate
XX,5,4,0.8
WY,233,198,0.8497854077253219
MP,70,65,0.9285714285714286
VI,16,15,0.9375
SC,1648,1549,0.9399271844660194
DE,1267,1193,0.941594317284925
ND,264,252,0.9545454545454546
NM,785,752,0.9579617834394905
VT,238,228,0.957983193277311
GA,12102,11650,0.9626508015204098
NH,573,552,0.9633507853403142
KY,1270,1231,0.9692913385826771
MD,13159,12765,0.9700585150847328
SD,910,883,0.9703296703296703
FL,9844,9558,0.9709467696058512
PR,72,70,0.9722222222222222
OK,940,916,0.9744680851063829
AL,1158,1129,0.9749568221070811
AK,246,240,0.975609756097561
MT,168,164,0.9761904761904762
TX,57109,55757,0.9763259731390849
NV,790,772,0.9772151898734177
MA,16428,16059,0.9775383491599707
OR,1534,1501,0.9784876140808344
ME,327,320,0.9785932721712538
VA,25890,25339,0.9787176516029354
NJ,31960,31286,0.9789111389236546
CO,2705,2648,0.9789279112754159
UT,1575,1543,0.9796825396825397
IN,2885,2827,0.9798960138648181
OH,6622,6490,0.9800664451827242
NC,10488,10279,0.980072463768116
MO,4323,4237,0.9801064075873236
CT,3016,2957,0.9804376657824934
PA,12843,12594,0.9806120065405279
IA,1587,1557,0.9810964083175804
NE,1023,1004,0.9814271749755621
DC,1446,1420,0.9820193637621023
WV,225,221,0.9822222222222222
MI,11845,11635,0.982271000422119
LA,1083,1065,0.9833795013850416
AZ,6385,6279,0.9833985904463587
TN,4727,4649,0.9834990480220013
NY,28943,28487,0.9842448951387209
WA,9919,9764,0.9843734247403972
CA,80081,78860,0.9847529376506288
GU,465,458,0.9849462365591398
KS,1314,1295,0.9855403348554034
AR,4400,4337,0.9856818181818182
MN,4583,4518,0.9858171503382064
MS,460,454,0.9869565217391304
IL,20166,19906,0.9871070118020431
WI,2879,2852,0.9906217436609934
ID,657,651,0.9908675799086758
RI,1751,1737,0.9920045688178184
HI,195,195,1.0
MH,1,1,1.0
